Probabilidad de éxito: 0.75
Probabilidad de fracaso: 0.25
i	Ri    	Xi	¿éxtoso?
1	0.13068	1	true
2	0.85227	0	false
3	0.67045	1	true
4	0.79545	0	false
5	0.83523	0	false
6	0.61932	1	true
7	0.64205	1	true
8	0.37700	1	true
9	0.24432	1	true
10	0.52273	1	true
11	0.01705	1	true
12	0.17614	1	true
13	0.31818	1	true
14	0.40909	1	true
15	0.34659	1	true
16	0.82955	0	false
17	0.93750	0	false
18	0.92614	0	false
19	0.55682	1	true
20	0.11932	1	true
21	0.48295	1	true
22	0.23295	1	true
23	0.15341	1	true
24	0.58523	1	true
25	0.53977	1	true
26	0.06818	1	true
27	0.32955	1	true
28	0.77841	0	false
29	0.78409	0	false
30	0.46591	1	true
31	0.18182	1	true
32	0.00000	1	true
33	0.12500	1	true
34	0.16477	1	true
35	0.95455	0	false
36	0.97727	0	false
37	0.71023	1	true
38	0.57955	1	true
39	0.85795	0	false
40	0.35227	1	true
41	0.51136	1	true
42	0.65341	1	true
43	0.74432	1	true
44	0.68182	1	true
45	0.15909	1	true
46	0.26705	1	true
47	0.25568	1	true
48	0.89205	0	false
49	0.45455	1	true
50	0.81818	0	false
51	0.56818	1	true
52	0.48864	1	true
53	0.92045	0	false
54	0.87500	0	false
55	0.40341	1	true
56	0.66477	1	true
57	0.10795	1	true
58	0.11364	1	true
59	0.80114	0	false
60	0.51705	1	true
61	0.33523	1	true
62	0.46023	1	true
63	0.50000	1	true
64	0.28409	1	true
65	0.30682	1	true
66	0.03977	1	true
67	0.91477	0	false
68	0.18750	1	true
69	0.68750	1	true
70	0.84659	0	false
71	0.98864	0	false
72	0.07386	1	true
73	0.01136	1	true
74	0.49432	1	true
75	0.60227	1	true
76	0.59091	1	true
77	0.22159	1	true
78	0.78977	0	false
79	0.14773	1	true
80	0.90341	0	false
81	0.82386	0	false
82	0.25000	1	true
83	0.20455	1	true
84	0.73864	1	true
85	1.00000	0	false
86	0.44318	1	true
87	0.44886	1	true
Porcentaje de éxitos: 73.56% 
Porcentaje de fracasos: 26.44% 
