Probabilidad de éxito: 0.75
Probabilidad de fracaso: 0.25
i	Ri    	Xi	¿éxtoso?
1	0.38091	1	true
2	0.97110	0	false
3	0.60734	1	true
4	0.00356	1	true
5	0.07002	1	true
6	0.07783	1	true
7	0.71737	1	true
8	0.50624	1	true
9	0.94909	0	false
10	0.90991	0	false
11	0.26131	1	true
12	0.99813	0	false
13	0.25034	1	true
14	0.02772	1	true
15	0.41698	1	true
16	0.88190	0	false
17	0.08138	1	true
18	0.81024	0	false
19	0.30722	1	true
20	0.08943	1	true
21	0.78868	0	false
22	0.36072	1	true
23	0.80435	0	false
24	0.11697	1	true
25	0.38869	1	true
26	0.37631	1	true
27	0.35886	1	true
28	0.60229	1	true
29	0.92449	0	false
30	0.59968	1	true
Porcentaje de éxitos: 70.00% 
Porcentaje de fracasos: 30.00% 
