Probabilidad de éxito: 0.25
Probabilidad de fracaso: 0.75
i	Ri    	Xi	¿éxtoso?
1	0.85227	0	false
2	0.67045	0	false
3	0.79545	0	false
4	0.83523	0	false
5	0.61932	0	false
6	0.64205	0	false
7	0.37500	0	false
8	0.24432	1	true
9	0.52273	0	false
10	0.01705	1	true
11	0.17614	1	true
12	0.31818	0	false
13	0.40909	0	false
14	0.34659	0	false
15	0.82955	0	false
16	0.93750	0	false
17	0.92614	0	false
18	0.55682	0	false
19	0.11932	1	true
20	0.48295	0	false
21	0.23295	1	true
22	0.15341	1	true
23	0.58523	0	false
24	0.53977	0	false
25	0.06818	1	true
26	0.32955	0	false
27	0.77841	0	false
28	0.78409	0	false
29	0.46591	0	false
30	0.18182	1	true
31	0.00000	1	true
32	0.12500	1	true
33	0.16477	1	true
34	0.95455	0	false
35	0.97727	0	false
36	0.71023	0	false
37	0.57955	0	false
38	0.85795	0	false
39	0.35227	0	false
40	0.51136	0	false
41	0.65341	0	false
42	0.74432	0	false
43	0.68182	0	false
44	0.15909	1	true
45	0.26705	0	false
46	0.25568	0	false
47	0.89205	0	false
48	0.45455	0	false
49	0.81818	0	false
50	0.56818	0	false
51	0.48864	0	false
52	0.92045	0	false
53	0.87500	0	false
54	0.40341	0	false
55	0.66477	0	false
56	0.10795	1	true
57	0.11364	1	true
58	0.80114	0	false
59	0.51705	0	false
60	0.33523	0	false
61	0.46023	0	false
62	0.50000	0	false
63	0.28409	0	false
64	0.30682	0	false
65	0.03977	1	true
66	0.91477	0	false
67	0.18750	1	true
68	0.68750	0	false
69	0.84659	0	false
70	0.98864	0	false
71	0.07386	1	true
72	0.01136	1	true
73	0.49432	0	false
74	0.60227	0	false
75	0.59091	0	false
76	0.22159	1	true
77	0.78977	0	false
78	0.14773	1	true
79	0.90341	0	false
80	0.82386	0	false
81	0.25000	1	true
82	0.20455	1	true
83	0.73864	0	false
84	1.00000	0	false
85	0.44318	0	false
86	0.44886	0	false
87	0.13068	1	true
Porcentaje de éxitos: 26.44% 
Porcentaje de fracasos: 73.56% 
