Ri	X	¿Corrida?
0.85227	1	true
0.67045	0	true
0.79545	1	true
0.83523	1	false
0.61932	0	true
0.64205	1	true
0.37500	0	true
0.24432	0	false
0.52273	1	true
0.01705	0	true
0.17614	1	true
0.31818	1	false
0.40909	1	false
0.34659	0	true
0.82955	1	true
0.93750	1	false
0.92614	0	true
0.55682	0	false
0.11932	0	false
0.48295	1	true
0.23295	0	true
0.15341	0	false
0.58523	1	true
0.53977	0	true
0.06818	0	false
0.32955	1	true
0.77841	1	false
0.78409	1	false
0.46591	0	true
0.18182	0	false
0.00000	0	false
0.12500	1	true
0.16477	1	false
0.95455	1	false
0.97727	1	false
0.71023	0	true
0.57955	0	false
0.85795	1	true
0.35227	0	true
0.51136	1	true
0.65341	1	false
0.74432	1	false
0.68182	0	true
0.15909	0	false
0.26705	1	true
0.25568	0	true
0.89205	1	true
0.45455	0	true
0.81818	1	true
0.56818	0	true
0.48864	0	false
0.92045	1	true
0.87500	0	true
0.40341	0	false
0.66477	1	true
0.10795	0	true
0.11364	1	true
0.80114	1	false
0.51705	0	true
0.33523	0	false
0.46023	1	true
0.50000	1	false
0.28409	0	true
0.30682	1	true
0.03977	0	true
0.91477	1	true
0.18750	0	true
0.68750	1	true
0.84659	1	false
0.98864	1	false
0.07386	0	true
0.01136	0	false
0.49432	1	true
0.60227	1	false
0.59091	0	true
0.22159	0	false
0.78977	1	true
0.14773	0	true
0.90341	1	true
0.82386	0	true
0.25000	0	false
0.20455	0	false
0.73864	1	true
1.00000	1	false
0.44318	0	true
0.44886	1	true
0.13068	0	true

Número de corridas: 54Zo = |(Co - Cuo) / Vco| = |(54 - 57.666667)/12.306277| = 0.297951
EL CONJUNTO DE NÚMEROS ES INDEPENDIENTE
