i	P(x)	Li	Ls
0	0.60653	0.00000	0.60653
1	0.30327	0.60653	0.90980
2	0.07582	0.90980	0.98561
3	0.01264	0.98561	0.99825
4	0.00158	0.99825	0.99983

Random	Grupo pertenencia
0.85227	1
0.67045	1
0.79545	1
0.83523	1
0.61932	1
0.64205	1
0.37500	0
0.24432	0
0.52273	0
0.01705	0
0.17614	0
0.31818	0
0.40909	0
0.34659	0
0.82955	1
0.93750	2
0.92614	2
0.55682	0
0.11932	0
0.48295	0
0.23295	0
0.15341	0
0.58523	0
0.53977	0
0.06818	0
0.32955	0
0.77841	1
0.78409	1
0.46591	0
0.18182	0
0.00000	0
0.12500	0
0.16477	0
0.95455	2
0.97727	2
0.71023	1
0.57955	0
0.85795	1
0.35227	0
0.51136	0
0.65341	1
0.74432	1
0.68182	1
0.15909	0
0.26705	0
0.25568	0
0.89205	1
0.45455	0
0.81818	1
0.56818	0
0.48864	0
0.92045	2
0.87500	1
0.40341	0
0.66477	1
0.10795	0
0.11364	0
0.80114	1
0.51705	0
0.33523	0
0.46023	0
0.50000	0
0.28409	0
0.30682	0
0.03977	0
0.91477	2
0.18750	0
0.68750	1
0.84659	1
0.98864	3
0.07386	0
0.01136	0
0.49432	0
0.60227	0
0.59091	0
0.22159	0
0.78977	1
0.14773	0
0.90341	1
0.82386	1
0.25000	0
0.20455	0
0.73864	1
1.00000	4
0.44318	0
0.44886	0
0.13068	0
i	P(x)	Li	Ls	Count	Porcentaje
0	0.60653	0.00000	0.60653	54	62.07%
1	0.30327	0.60653	0.90980	25	28.74%
2	0.07582	0.90980	0.98561	6	6.90%
3	0.01264	0.98561	0.99825	1	1.15%
4	0.00158	0.99825	1.00000	1	1.15%
